"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Oct 24 11:41:28 MSK 2022","Mon Oct 24 11:42:09 MSK 2022","40127","","test_main_page","TestCalcPolis","","","test_calc_polis[-Сидоров Сидор Сидорович-05.10.1990-5009 778900-31.01.2010-г Краснодар, ул Освободителей Краснодара, д 3 -9034567788-mail7531@gmail.com-p]",""
"passed","Mon Oct 24 11:46:27 MSK 2022","Mon Oct 24 11:47:06 MSK 2022","38136","","test_main_page","TestCalcPolis","","","test_calc_polis[500 000-Иванов Иван Иванович-12.04.1999-5004 678901-12.05.2016-г Москва, ул Академика Королева, влд 2А -9034567788--n]",""
"passed","Mon Oct 24 11:47:51 MSK 2022","Mon Oct 24 11:48:29 MSK 2022","38067","","test_main_page","TestCalcPolis","","","test_calc_polis[100 000-Иванов Иван Иванович--5004 678901--г Москва, ул Академика Королева, влд 2А --mail7531@gmail.com-n]",""
"passed","Mon Oct 24 11:45:02 MSK 2022","Mon Oct 24 11:45:42 MSK 2022","39656","","test_main_page","TestCalcPolis","","","test_calc_polis[-Иванов Иван Иванович-12.04.1999-5004 678901-12.05.2016--9034567788-mail7531@gmail.com-n]",""
"passed","Mon Oct 24 11:40:02 MSK 2022","Mon Oct 24 11:40:41 MSK 2022","38839","","test_main_page","TestCalcPolis","","","test_calc_polis[100 000-Иванов Иван Иванович-12.04.1999-5004 678901-12.05.2016-г Москва, ул Академика Королева, влд 2А -9034567788-mail7531@gmail.com-p]",""
"passed","Mon Oct 24 11:40:44 MSK 2022","Mon Oct 24 11:41:25 MSK 2022","40760","","test_main_page","TestCalcPolis","","","test_calc_polis[500 000-Петрова Анна-05.10.1990-5009 778900-31.01.2010-г Новосибирск, ул 1905 года, д 20 -9134569988-petro7431@gmail.com-p]",""
"passed","Mon Oct 24 11:45:46 MSK 2022","Mon Oct 24 11:46:24 MSK 2022","38634","","test_main_page","TestCalcPolis","","","test_calc_polis[100 000-Иванов Иван Иванович-12.04.1999-5004 678901-12.05.2016-г Москва, ул Академика Королева, влд 2А --mail7531@gmail.com-n]",""
"passed","Mon Oct 24 11:43:37 MSK 2022","Mon Oct 24 11:44:16 MSK 2022","38653","","test_main_page","TestCalcPolis","","","test_calc_polis[100 000-Иванов Иван Иванович-12.04.1999--12.05.2016-г Москва, ул Академика Королева, влд 2А -9034567788-mail7531@gmail.com-n]",""
"passed","Mon Oct 24 11:47:09 MSK 2022","Mon Oct 24 11:47:48 MSK 2022","38638","","test_main_page","TestCalcPolis","","","test_calc_polis[--12.04.1999--12.05.2016--9034567788--n]",""
"passed","Mon Oct 24 11:44:19 MSK 2022","Mon Oct 24 11:44:59 MSK 2022","39432","","test_main_page","TestCalcPolis","","","test_calc_polis[500 000-Иванов Иван Иванович-12.04.1999-5004 678901--г Москва, ул Академика Королева, влд 2А -9034567788-mail7531@gmail.com-n]",""
"passed","Mon Oct 24 11:42:56 MSK 2022","Mon Oct 24 11:43:34 MSK 2022","37798","","test_main_page","TestCalcPolis","","","test_calc_polis[-Иванов Иван Иванович--5004 678901-12.05.2016-г Москва, ул Академика Королева, влд 2А -9034567788-mail7531@gmail.com-n]",""
"passed","Mon Oct 24 11:42:12 MSK 2022","Mon Oct 24 11:42:52 MSK 2022","40058","","test_main_page","TestCalcPolis","","","test_calc_polis[100 000--05.10.1990-5009 778900-31.01.2010-г Краснодар, ул Освободителей Краснодара, д 3 -9034567788-mail7531@gmail.com-n]",""
